time (hr),od-sensors-3.od-680_E21,od-sensors-6.od-680_E22,od-sensors-2.od-680_F21,od-sensors-5.od-680_F22,od-sensors-1.od-680_G21,od-sensors-7.od-680_G23,od-sensors-7.od-680_H21,od-sensors-8.od-680_H22
4.583333,0.005108,0.000681333,0.000755333,0.000768153,0.000966,0.000989323,0.002590667,0.00053
4.666667,0.005188,0.000849333,0.001285333,0.001313273,0.001104,0.001089009,0.002646667,0.00066
4.75,0.005482,0.000989333,0.001453333,0.001452167,0.001104,0.00111012,0.002674667,0.00106
4.833333,0.00575,0.001101333,0.001537333,0.001531156,0.001104,0.001081693,0.002842667,0.00066
4.916667,0.005724,0.001157333,0.001425333,0.001409712,0.001104,0.001105217,0.002870667,0.00066
5,0.005832,0.001129333,0.001509333,0.001534963,0.001104,0.001116484,0.002870667,0.00132
5.083333,0.005886,0.001045333,0.001007333,0.001017156,0.001104,0.001111326,0.002786667,0.0004
5.166667,0.005914,0.001045333,0.001007333,0.001033557,0.001104,0.00108279,0.002786667,0.00146
5.25,0.005914,0.000989333,0.001007333,0.001028858,0.000966,0.000985902,0.002786667,0.00093
5.333333,0.006102,0.000961333,0.001201333,0.001193723,0.000966,0.000945304,0.002814667,0.00066
5.416667,0.005994,0.001073333,0.001451333,0.001487902,0.001104,0.001130212,0.002898667,0.00106
5.5,0.006128,0.001299333,0.001423333,0.001426075,0.001104,0.001123384,0.003066667,0.00027
5.583333,0.006262,0.001441333,0.001477333,0.001445331,0.001104,0.001116188,0.003010667,0.00053
5.666667,0.00629,0.001497333,0.001393333,0.001372665,0.001104,0.001110183,0.003094667,0.00199
5.75,0.006344,0.001525333,0.001283333,0.001314849,0.001104,0.001101661,0.003094667,0.00159
5.833333,0.006478,0.001581333,0.000977333,0.00100061,0.000966,0.000987361,0.003206667,0.00066
5.916667,0.006424,0.001637333,0.001061333,0.001068857,0.000966,0.000965806,0.003150667,0.00093
6,0.00645,0.001551333,0.001035333,0.001062308,0.000966,0.000968845,0.003290667,0.0004
6.083333,0.00661,0.001579333,0.001091333,0.001091421,0.001104,0.001079001,0.003290667,0.00106
6.166667,0.006582,0.001861333,0.000953333,0.000954021,0.001104,0.00110941,0.003430667,0.00132
6.25,0.00677,0.001919333,0.001009333,0.000993996,0.001104,0.001086197,0.003514667,0.00132
6.333333,0.006904,0.001863333,0.001065333,0.00104401,0.001242,0.001255735,0.003458667,0.00119
6.416667,0.006744,0.001891333,0.001009333,0.001024229,0.001242,0.001212168,0.003402667,0.00053
6.5,0.00653,0.002005333,0.001065333,0.001061126,0.001242,0.001247078,0.003682667,0.0004
6.583333,0.0068,0.001893333,0.001203333,0.001220397,0.00138,0.001365762,0.003850667,0.00079
6.666667,0.006774,0.001949333,0.001203333,0.001215643,0.00138,0.001391498,0.003682667,0.00053
6.75,0.006962,0.001949333,0.001147333,0.00117203,0.001242,0.001249149,0.003878667,0.00106
6.833333,0.007042,0.002261333,0.001229333,0.001203528,0.00138,0.001396264,0.004018667,0.00079
6.916667,0.00731,0.002205333,0.001201333,0.001219107,0.00138,0.00141324,0.004018667,0.00106
7,0.007256,0.002373333,0.001201333,0.001183006,0.001242,0.001215144,0.004018667,0.00119
7.083333,0.007552,0.002485333,0.001229333,0.001243422,0.00138,0.00138171,0.004298667,0.00225
7.166667,0.007552,0.002541333,0.001285333,0.001311545,0.001518,0.001544933,0.004382667,0.00132
7.25,0.007794,0.002455333,0.001313333,0.001322464,0.001518,0.001506235,0.004438667,0.00146
7.333333,0.007848,0.002651333,0.001479333,0.001448627,0.001656,0.001695039,0.004270667,0.00199
7.416667,0.007848,0.002567333,0.001617333,0.001647165,0.001794,0.001806966,0.004354667,0.00146
7.5,0.007848,0.002709333,0.001727333,0.001712738,0.001794,0.001762384,0.004298667,0.00199
7.583333,0.007956,0.003019333,0.001809333,0.001820935,0.001794,0.001782345,0.004326667,0.00079
7.666667,0.007982,0.003047333,0.001781333,0.001776669,0.001794,0.00182348,0.004438667,0.00212
7.75,0.008036,0.003105333,0.001725333,0.001741214,0.001656,0.001695491,0.004606667,0.00291
7.833333,0.00817,0.003359333,0.001753333,0.001753113,0.001656,0.001650976,0.004690667,0.00079
7.916667,0.008386,0.003245333,0.001865333,0.001870012,0.001656,0.001693706,0.004944667,0.00093
8,0.008386,0.003331333,0.001865333,0.001856947,0.001656,0.001669401,0.005056667,0.00185
8.083333,0.008522,0.003417333,0.002005333,0.002010548,0.001656,0.00165101,0.005282667,0.00146
8.166667,0.008872,0.003587333,0.002257333,0.002254164,0.001932,0.001910955,0.005480667,0.00252
8.25,0.009304,0.003701333,0.002425333,0.002470098,0.00207,0.002087365,0.005734667,0.00212
8.333333,0.009412,0.004013333,0.002537333,0.00250159,0.00207,0.002096832,0.005902667,0.00212
8.416667,0.009872,0.004041333,0.002929333,0.00288398,0.002208,0.002169725,0.006044667,0.00278
8.5,0.010088,0.004409333,0.003209333,0.003263742,0.002346,0.002312151,0.006156667,0.00238
8.583333,0.010224,0.004691333,0.003237333,0.003271419,0.002484,0.00253083,0.006324667,0.00238
8.666667,0.010306,0.004775333,0.003405333,0.003338071,0.002484,0.00244623,0.006438667,0.00358
